speciesID,familyID,bbsNumber,commonNameE,commonNameF,scientificNameE,scientificNameF,aou,descriptionE,descriptionF,XStatus,XModUTC
RUBL,2,5090,Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,Euphagus carolinus,1936,NULL,NULL,A,25:39.3
RUDU,14,1670,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,Oxyura jamaicensis,79,NULL,NULL,A,25:39.5
RUGR,20,3000,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Bonasa umbellus,124,NULL,NULL,A,25:39.6
RUHU,24,4330,Rufous Hummingbird,Colibri roux,Selasphorus rufus,Selasphorus rufus,340,NULL,NULL,A,25:39.7
RUTU,47,2830,Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,Arenaria interpres,481,NULL,NULL,A,25:39.9
RWBL,2,4980,Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,Agelaius phoeniceus,1925,NULL,NULL,A,25:40.0
SACR,9,2060,Sandhill Crane,Grue du Canada,Grus canadensis,Grus canadensis,437,NULL,NULL,A,25:40.1
SAGU,21,620,Sabine's Gull,Mouette de Sabine,Xema sabini,Xema sabini,568,NULL,NULL,A,25:40.2
SAND,47,2480,Sanderling,Bécasseau sanderling,Calidris alba,Calidris alba,495,NULL,NULL,A,25:40.4
SAPH,56,4570,Say's Phoebe,Moucherolle à ventre roux,Sayornis saya,Sayornis saya,1237,NULL,NULL,A,25:40.5
SAPS_UNI,60,4022,Sapsuckers (Yellow-bellied/Red-naped/Red-breasted),Pics buveur de sève (maculé/à nuque rouge/à poitrine rouge),Sphyrapicus sp.,Sphyrapicus sp.,956.999,NULL,NULL,A,25:40.7
SATH,6,7020,Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,Oreoscoptes montanus,1628,NULL,NULL,A,25:40.8
SAVS,49,5420,Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,Passerculus sandwichensis,1841,NULL,NULL,A,25:40.9
SBDO,47,2310,Short-billed Dowitcher,Bécassin roux,Limnodromus griseus,Limnodromus griseus,507,NULL,NULL,A,25:41.0
SCTA,5,6080,Scarlet Tanager,Piranga écarlate,Piranga olivacea,Piranga olivacea,2034,NULL,NULL,A,25:41.2
SEOW,40,3670,Short-eared Owl,Hibou des marais,Asio flammeus,Asio flammeus,864,NULL,NULL,A,25:41.3
SEPL,44,2740,Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,Charadrius semipalmatus,459,NULL,NULL,A,25:41.4
SESA,47,2460,Semipalmated Sandpiper,Bécasseau semipalmé,Calidris pusilla,Calidris pusilla,505,NULL,NULL,A,25:41.6
SEWR,61,7240,Sedge Wren,Troglodyte à bec court,Cistothorus platensis,Cistothorus platensis,1467,NULL,NULL,A,25:41.7
SMLO,31,5370,Smith's Longspur,Plectrophane de Smith,Calcarius pictus,Calcarius pictus,1774,NULL,NULL,A,25:41.8
SNBU,31,5340,Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,Plectrophenax nivalis,1776,NULL,NULL,A,25:42.0
SNEG,23,1970,Snowy Egret,Aigrette neigeuse,Egretta thula,Egretta thula,743,NULL,NULL,A,25:42.1
SNGO,14,1690,Snow Goose,Oie des neiges,Chen caerulescens,Chen caerulescens,12,NULL,NULL,A,25:42.2
SNOW,40,3760,Snowy Owl,Harfang des neiges,Bubo scandiacus,Bubo scandiacus,845,NULL,NULL,A,25:42.4
SORA,46,2140,Sora,Marouette de Caroline,Porzana carolina,Porzana carolina,418,NULL,NULL,A,25:42.5
SOSA,47,2560,Solitary Sandpiper,Chevalier solitaire,Tringa solitaria,Tringa solitaria,520,NULL,NULL,A,25:42.6
SOSP,49,5810,Song Sparrow,Bruant chanteur,Melospiza melodia,Melospiza melodia,1851,NULL,NULL,A,25:42.8
SOVI,57,6295,Solitary Vireo (Blue-headed/Cassin's),Viréo à tête bleue (à tête bleue/de Cassin),Vireo sp.,Vireo sp.,1354.999,NULL,NULL,A,25:42.9
SPGR,20,2980,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Falcipennis canadensis,127,NULL,NULL,A,25:43.0
SPOW,40,3690,Spotted Owl,Chouette tachetée,Strix occidentalis,Strix occidentalis,858,NULL,NULL,A,25:43.1
SPPI,43,7000,Sprague's Pipit,Pipit de Sprague,Anthus spragueii,Anthus spragueii,1679,NULL,NULL,A,25:43.3
SPSA,47,2630,Spotted Sandpiper,Chevalier grivelé,Actitis macularius,Actitis macularius,518,NULL,NULL,A,25:43.4
SPTO,49,5880,Spotted Towhee,Tohi tacheté,Pipilo maculatus,Pipilo maculatus,1804,NULL,NULL,A,25:43.5
SSHA,22,3320,Sharp-shinned Hawk,Épervier brun,Accipiter striatus,Accipiter striatus,791,NULL,NULL,A,25:43.6
STGR,20,3080,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Tympanuchus phasianellus,133,NULL,NULL,A,25:43.8
STJA,27,4780,Steller's Jay,Geai de Steller,Cyanocitta stelleri,Cyanocitta stelleri,1379,NULL,NULL,A,25:43.9
STSA,47,2330,Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,Calidris himantopus,489,NULL,NULL,A,25:44.0
SURF,47,2820,Surfbird,Bécasseau du ressac,Aphriza virgata,Aphriza virgata,485,NULL,NULL,A,25:44.2
SUSC,14,1660,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,Melanitta perspicillata,66,NULL,NULL,A,25:44.3
SWHA,22,3420,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Buteo swainsoni,816,NULL,NULL,A,25:44.4
SWSP,49,5840,Swamp Sparrow,Bruant des marais,Melospiza georgiana,Melospiza georgiana,1853,NULL,NULL,A,25:44.6
SWTH,55,7580,Swainson's Thrush,Grive à dos olive,Catharus ustulatus,Catharus ustulatus,1581,NULL,NULL,A,25:44.7
TBMU,33,310,Thick-billed Murre,Guillemot de Brünnich,Uria lomvia,Uria lomvia,543,NULL,NULL,A,25:44.8
TEWA,58,6470,Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,Oreothlypis peregrina,1958,NULL,NULL,A,25:45.0
TOSO,55,7540,Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,Myadestes townsendi,1558,NULL,NULL,A,25:45.1
TOWA,58,6680,Townsend's Warbler,Paruline de Townsend,Setophaga townsendi,Setophaga townsendi,2009,NULL,NULL,A,25:45.2
TRES,53,6140,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,Tachycineta bicolor,1418,NULL,NULL,A,25:45.4
